id,timestamp,symbol,last_price,bid_price,ask_price,volume,trade_time,msg_type
360,2025-01-21 14:44:33,SPY,602.58,4900,100,28000615,2025-01-21 20:44:33,quote
361,2025-01-21 14:44:33,TSLA,421.9216,200,422,76385732,2025-01-21 20:44:32,quote
362,2025-01-21 14:44:33,NVDA,,1200,,145152847,2025-01-21 20:44:32,quote
363,2025-01-21 14:44:33,GS,634,634,,4282237,2025-01-21 20:44:32,quote
364,2025-01-21 14:44:33,MSTR,387.9,387.75,387.97,21470311,2025-01-21 20:44:32,quote
365,2025-01-21 14:44:33,NFLX,,,,5042803,,quote
366,2025-01-21 14:44:34,AMZN,,,300,27715010,,quote
367,2025-01-21 14:44:34,META,617.04,800,617.08,7576251,2025-01-21 20:44:32,quote
368,2025-01-21 14:44:34,TSLA,422.0484,,422.06,76387919,2025-01-21 20:44:33,quote
369,2025-01-21 14:44:34,GS,634.13,634.02,634.21,4284759,2025-01-21 20:44:33,quote
370,2025-01-21 14:44:34,AAPL,221.4701,,800,70408686,2025-01-21 20:44:33,quote
371,2025-01-21 14:44:34,NFLX,,,,5043513,2025-01-21 20:44:33,quote
372,2025-01-21 14:44:34,COIN,,,296.66,10798263,,quote
373,2025-01-21 14:44:34,AMZN,,100,230.82,27715084,,quote
374,2025-01-21 14:44:34,SPY,,400,602.57,28000625,,quote
375,2025-01-21 14:44:34,META,,200,,7576431,2025-01-21 20:44:33,quote
376,2025-01-21 14:44:34,GOOG,,200,100,11151334,,quote
377,2025-01-21 14:44:34,NVDA,141.275,,141.28,145160933,2025-01-21 20:44:33,quote
378,2025-01-21 14:44:34,MSTR,387.82,387.53,387.86,21470924,2025-01-21 20:44:33,quote
379,2025-01-21 14:44:35,QQQ,524.765,524.74,524.76,18797267,2025-01-21 20:44:33,quote
380,2025-01-21 14:44:35,META,,,617.07,7576551,,quote
381,2025-01-21 14:44:35,NFLX,868.21,,868.42,5043623,2025-01-21 20:44:34,quote
382,2025-01-21 14:44:35,AMZN,230.79,230.78,230.8,27717683,2025-01-21 20:44:35,quote
383,2025-01-21 14:44:35,QQQ,,100,524.75,18797787,,quote
384,2025-01-21 14:44:35,TSLA,421.968,100,422,76390550,2025-01-21 20:44:34,quote
385,2025-01-21 14:44:35,NVDA,141.2705,,300,145163862,2025-01-21 20:44:35,quote
386,2025-01-21 14:44:35,MSTR,387.7,387.58,100,21471258,2025-01-21 20:44:34,quote
387,2025-01-21 14:44:35,GOOG,200.155,400,,11152417,2025-01-21 20:44:34,quote
388,2025-01-21 14:44:35,GS,634.16,,634.23,4285053,2025-01-21 20:44:34,quote
389,2025-01-21 14:44:35,COIN,296.18,296.1,296.38,10798615,2025-01-21 20:44:34,quote
390,2025-01-21 14:44:36,SPY,602.55,602.55,900,28003078,2025-01-21 20:44:34,quote
391,2025-01-21 14:44:36,AAPL,221.48,2000,221.49,70412814,2025-01-21 20:44:34,quote
392,2025-01-21 14:44:36,AAPL,,2200,,70413949,2025-01-21 20:44:35,quote
393,2025-01-21 14:44:36,QQQ,524.72,524.71,524.73,18799468,2025-01-21 20:44:35,quote
394,2025-01-21 14:44:36,SPY,602.54,602.54,602.56,28004815,2025-01-21 20:44:35,quote
395,2025-01-21 14:44:36,GS,634.22,100,,4287548,2025-01-21 20:44:35,quote
396,2025-01-21 14:44:36,AMZN,134,230.77,230.79,27717991,,quote
397,2025-01-21 14:44:36,NFLX,,,,5043727,2025-01-21 20:44:35,quote
398,2025-01-21 14:44:36,MSTR,387.72,387.62,,21471798,2025-01-21 20:44:35,quote
399,2025-01-21 14:44:36,META,616.96,,617.08,7576900,2025-01-21 20:44:35,quote
400,2025-01-21 14:44:36,TSLA,421.82,421.82,421.97,76393520,2025-01-21 20:44:35,quote
401,2025-01-21 14:44:36,NVDA,141.26,141.25,141.27,145173179,,quote
402,2025-01-21 14:44:37,COIN,,,,10798624,,quote
403,2025-01-21 14:44:37,GOOG,200.15,200.14,200.15,11153081,2025-01-21 20:44:35,quote
404,2025-01-21 14:44:37,GOOG,,600,200.16,11153223,2025-01-21 20:44:36,quote
405,2025-01-21 14:44:37,TSLA,421.8201,,421.92,76395626,2025-01-21 20:44:37,quote
406,2025-01-21 14:44:37,META,616.94,,617.06,7577179,2025-01-21 20:44:36,quote
407,2025-01-21 14:44:37,COIN,,,,10798724,,quote
408,2025-01-21 14:44:37,SPY,602.56,,602.57,28005546,2025-01-21 20:44:36,quote
409,2025-01-21 14:44:37,AAPL,100,1800,221.48,70415188,2025-01-21 20:44:37,quote
410,2025-01-21 14:44:37,NFLX,,,,5043883,,quote
411,2025-01-21 14:44:37,GS,,,,4287550,,quote
412,2025-01-21 14:44:37,QQQ,,,524.74,18799634,,quote
413,2025-01-21 14:44:37,MSTR,387.5,387.35,387.69,21473143,2025-01-21 20:44:36,quote
414,2025-01-21 14:44:37,NVDA,141.2699,141.26,141.28,145179849,2025-01-21 20:44:36,quote
415,2025-01-21 14:44:38,AMZN,230.785,,230.8,27719451,2025-01-21 20:44:36,quote
416,2025-01-21 14:44:38,AAPL,221.49,221.49,221.5,70423480,,quote
417,2025-01-21 14:44:38,TSLA,421.9,,421.9,76397189,2025-01-21 20:44:38,quote
