timestamp,symbol,event,latency_ms,request_id,stage,exchange_time,broker_latency_ms,total_latency_ms
2025-01-21T20:02:33.706990Z,QQQ,write,4.18304,REQ000046,write
2025-01-21T20:02:33.708939Z,QQQ,total,6.131968,REQ000046,total
2025-01-21T20:02:33.710869Z,QQQ,broker,8.061952,REQ000046,broker
2025-01-21T20:02:33.714073Z,AAPL,wire,0.151808,REQ000047,wire
2025-01-21T20:02:33.715826Z,AAPL,parse,1.904896,REQ000047,parse
2025-01-21T20:02:33.717571Z,AAPL,write,3.650048,REQ000047,write
2025-01-21T20:02:33.719278Z,AAPL,total,5.357056,REQ000047,total
2025-01-21T20:02:33.720955Z,AAPL,broker,7.033856,REQ000047,broker
2025-01-21T20:02:34.656489Z,SPY,wire,0.742912,REQ000048,wire
2025-01-21T20:02:34.661087Z,SPY,parse,5.340928,REQ000048,parse
2025-01-21T20:02:34.664300Z,SPY,write,8.553984,REQ000048,write
2025-01-21T20:02:34.666162Z,SPY,total,10.415872,REQ000048,total
2025-01-21T20:02:34.667896Z,SPY,broker,12.150016,REQ000048,broker
2025-01-21T20:02:34.671017Z,AAPL,wire,0.164096,REQ000049,wire
2025-01-21T20:02:34.672768Z,AAPL,parse,1.915136,REQ000049,parse
2025-01-21T20:02:34.676846Z,AAPL,write,5.993216,REQ000049,write
2025-01-21T20:02:34.678988Z,AAPL,total,8.135168,REQ000049,total
2025-01-21T20:02:34.680989Z,AAPL,broker,10.136064,REQ000049,broker
2025-01-21T20:02:35.657415Z,SPY,wire,0.678912,REQ000050,wire
2025-01-21T20:02:35.663962Z,SPY,parse,7.225856,REQ000050,parse
2025-01-21T20:02:35.668718Z,SPY,write,11.98208,REQ000050,write
2025-01-21T20:02:35.670401Z,SPY,total,13.665024,REQ000050,total
2025-01-21T20:02:35.671736Z,SPY,broker,15.000064,REQ000050,broker
2025-01-21T20:02:35.674148Z,QQQ,wire,0.130304,REQ000051,wire
2025-01-21T20:02:35.675675Z,QQQ,parse,1.657088,REQ000051,parse
2025-01-21T20:02:35.677062Z,QQQ,write,3.044352,REQ000051,write
2025-01-21T20:02:35.678434Z,QQQ,total,4.416,REQ000051,total
2025-01-21T20:02:35.679850Z,QQQ,broker,5.832192,REQ000051,broker
2025-01-21T20:02:35.682673Z,QQQ,wire,0.175872,REQ000052,wire
2025-01-21T20:02:35.684182Z,QQQ,parse,1.684992,REQ000052,parse
2025-01-21T20:02:35.685730Z,QQQ,write,3.233024,REQ000052,write
2025-01-21T20:02:35.687507Z,QQQ,total,5.00992,REQ000052,total
2025-01-21T20:02:35.689331Z,QQQ,broker,6.83392,REQ000052,broker
2025-01-21T20:02:36.656639Z,SPY,wire,0.593152,REQ000053,wire
2025-01-21T20:02:36.661208Z,SPY,parse,5.161984,REQ000053,parse
2025-01-21T20:02:36.665312Z,SPY,write,9.266176,REQ000053,write
2025-01-21T20:02:36.669483Z,SPY,total,13.437184,REQ000053,total
2025-01-21T20:02:36.673051Z,SPY,broker,17.005312,REQ000053,broker
2025-01-21T20:02:36.681681Z,AAPL,wire,0.294912,REQ000054,wire
2025-01-21T20:02:36.684659Z,AAPL,parse,3.27296,REQ000054,parse
2025-01-21T20:02:36.687194Z,AAPL,write,5.808128,REQ000054,write
2025-01-21T20:02:36.689485Z,AAPL,total,8.099072,REQ000054,total
2025-01-21T20:02:36.691788Z,AAPL,broker,10.402048,REQ000054,broker
