symbol,received_time,trade_time,server_time,last,bid,ask,bid_size,ask_size,volume,type
SPY,2025-01-11T00:43:45.075584Z,,,,,,,,73099607,quote
SPY,2025-01-11T00:43:45.076676Z,,,,,,,,73099608,quote
AAPL,2025-01-11T00:44:06.047602Z,,,,,,,,61702089,quote
QQQ,2025-01-11T00:44:06.052108Z,,,,,,,,40519029,quote
AAPL,2025-01-11T00:44:06.053592Z,,,,,,,,61702090,quote
QQQ,2025-01-11T00:44:06.055192Z,,,,506.5,,1100,,40519030,quote
QQQ,2025-01-11T00:44:06.056360Z,,,,,,,,40519032,quote
AAPL,2025-01-11T00:44:06.057476Z,,,,,,,,61702092,quote
QQQ,2025-01-11T00:44:06.058688Z,2025-01-11T00:43:57Z,,,506.56,506.58,100,400,40519294,quote
AAPL,2025-01-11T00:44:06.060536Z,,,,,,,,61702093,quote
,2025-01-11T00:44:06.061836Z,,2025-01-11T00:44:06Z,,,,,,,heartbeat
SPY,2025-01-11T00:44:26.016473Z,,,,,,,,73099609,quote
AAPL,2025-01-11T00:44:26.019730Z,,,,,,,,61702094,quote
QQQ,2025-01-11T00:44:26.021084Z,,,,,,,,40519299,quote
SPY,2025-01-11T00:44:26.022628Z,,,,,,,,73099610,quote
SPY,2025-01-11T00:44:26.024095Z,,,,,,,,73099611,quote
QQQ,2025-01-11T00:44:26.025833Z,,,,,,,,40519304,quote
SPY,2025-01-11T00:44:26.027175Z,,,,,,,,73099612,quote
QQQ,2025-01-11T00:44:26.028453Z,2025-01-11T00:44:18Z,,506.58,,200,,200,40519556,quote
,2025-01-11T00:44:26.029990Z,,2025-01-11T00:44:24Z,,,,,,,heartbeat
SPY,2025-01-11T00:44:26.031946Z,,,,,,,,73099621,quote
AAPL,2025-01-11T00:44:43.016742Z,,,,,,,,61702103,quote
,2025-01-11T00:44:43.020511Z,,2025-01-11T00:44:31Z,,,,,,,heartbeat
QQQ,2025-01-11T00:44:43.022989Z,,,,,,,,40519558,quote
SPY,2025-01-11T00:44:43.025279Z,,,,,579.87,,,73099750,quote
SPY,2025-01-11T00:44:43.027183Z,,,,,,,,73099800,quote
AAPL,2025-01-11T00:44:43.029525Z,,,,,,,,61702104,quote
QQQ,2025-01-11T00:44:43.031724Z,2025-01-11T00:44:38Z,,242,506.59,506.65,,500,40519804,quote
SPY,2025-01-11T00:44:43.033972Z,,,,,579.85,,200,,quote
AAPL,2025-01-11T00:44:43.035316Z,,,,,,,,61702105,quote
AAPL,2025-01-11T00:44:43.036573Z,,,,,,,,61702106,quote
SPY,2025-01-11T00:44:58.070042Z,,,,,,,,73099801,quote
AAPL,2025-01-11T00:44:58.073342Z,,,,,,,,61702111,quote
SPY,2025-01-11T00:44:58.074904Z,,,,579.75,,100,,,quote
AAPL,2025-01-11T00:44:58.076285Z,,,,,,,,61702116,quote
AAPL,2025-01-11T00:44:58.077358Z,,,,,,,,61702117,quote
SPY,2025-01-11T00:44:58.078494Z,,,,,,,,73099802,quote
SPY,2025-01-11T00:44:58.079557Z,,,,579.71,300,200,300,73099803,quote
QQQ,2025-01-11T00:44:58.080898Z,,,,,,,,40519805,quote
QQQ,2025-01-11T00:44:58.081866Z,,,,,,,,40519806,quote
QQQ,2025-01-11T00:44:58.082770Z,,,,,,,,40519815,quote
SPY,2025-01-11T00:44:58.084349Z,,,,579.73,,100,,,quote
SPY,2025-01-11T00:45:18.068292Z,,,,,,,,73099805,quote
QQQ,2025-01-11T00:45:18.091236Z,,,,,,,,40519816,quote
QQQ,2025-01-11T00:45:18.111989Z,,,,,,,,40519817,quote
SPY,2025-01-11T00:45:18.114383Z,,,,579.72,,400,,73099811,quote
AAPL,2025-01-11T00:45:18.116078Z,,,,,,,,61702118,quote
SPY,2025-01-11T00:45:18.118Z,,,,,,,,73099814,quote
SPY,2025-01-11T00:45:18.119691Z,,,,,,,,73099815,quote
SPY,2025-01-11T00:45:18.121494Z,,,,,200,,200,73099819,quote
SPY,2025-01-11T00:45:18.123319Z,,,,,,,,73099824,quote
AAPL,2025-01-11T00:45:18.125092Z,,,,,,,,61702127,quote
SPY,2025-01-11T00:45:18.126919Z,,,,,,,,73099843,quote
QQQ,2025-01-11T00:45:18.128145Z,,,,,,,,40519818,quote
AAPL,2025-01-11T00:45:47.119253Z,,,,,,,,61702128,quote
SPY,2025-01-11T00:45:47.122779Z,,,,300,,300,,73099904,quote
QQQ,2025-01-11T00:45:47.123840Z,,,,,,,,40519828,quote
SPY,2025-01-11T00:45:47.124767Z,,,,,,,,73099905,quote
,2025-01-11T00:45:47.125953Z,,2025-01-11T00:45:30Z,,,,,,,heartbeat
SPY,2025-01-11T00:45:47.127259Z,,,,,,,,73099906,quote
SPY,2025-01-11T00:45:47.128467Z,,,,579.71,,200,,73099907,quote
QQQ,2025-01-11T00:45:47.130079Z,,,,,,,,40519832,quote
AAPL,2025-01-11T00:45:47.131285Z,,,,,,,,61702129,quote
QQQ,2025-01-11T00:45:47.132452Z,,,,,,,,40519836,quote
SPY,2025-01-11T00:45:47.133612Z,,,,579.72,,300,,,quote
AAPL,2025-01-11T00:45:47.135614Z,,,,,,,,61702130,quote
SPY,2025-01-11T00:46:18.049823Z,,,,,300,,300,73099910,quote
QQQ,2025-01-11T00:46:18.053415Z,,,,,,,,40519837,quote
AAPL,2025-01-11T00:46:18.055809Z,,,,,,,,61702146,quote
AAPL,2025-01-11T00:46:18.057638Z,,,,,,,,61702230,quote
QQQ,2025-01-11T00:46:18.059632Z,,,,,,,,40519838,quote
SPY,2025-01-11T00:46:18.060974Z,,,,,,,,73099913,quote
AAPL,2025-01-11T00:46:18.062193Z,,,,,,,,61702231,quote
QQQ,2025-01-11T00:46:18.063306Z,,,,200,,200,,40519858,quote
QQQ,2025-01-11T00:46:18.064788Z,,,,,,,,40519859,quote
AAPL,2025-01-11T00:46:18.066013Z,,,,,,,,61702232,quote
SPY,2025-01-11T00:46:18.067074Z,,,,,,,,73099916,quote
,2025-01-11T00:46:18.068484Z,,2025-01-11T00:46:16Z,,,,,,,heartbeat
AAPL,2025-01-11T00:46:33.097637Z,,,,,,,,61702252,quote
AAPL,2025-01-11T00:46:33.101478Z,,,,,,,,61702254,quote
SPY,2025-01-11T00:46:33.103675Z,,,,,,,,73099917,quote
AAPL,2025-01-11T00:46:33.105485Z,,,,236.97,,100,,,quote
QQQ,2025-01-11T00:46:33.107215Z,,,,,,,,40519860,quote
AAPL,2025-01-11T00:46:33.108728Z,,,,,,,,61702255,quote
AAPL,2025-01-11T00:46:33.111057Z,2025-01-11T00:46:27Z,,237,,,,,61702355,quote
QQQ,2025-01-11T00:46:33.121169Z,,,,,,,,40519861,quote
AAPL,2025-01-11T00:46:33.122723Z,,,,,,,,61702356,quote
AAPL,2025-01-11T00:46:33.123729Z,,,,,,,,61702357,quote
AAPL,2025-01-11T00:46:55.012665Z,,,,,,,,61702358,quote
AAPL,2025-01-11T00:46:55.016465Z,,,,236.96,,600,,61702388,quote
SPY,2025-01-11T00:46:55.018748Z,,,,,,,,73099944,quote
QQQ,2025-01-11T00:46:55.020728Z,,,,,,,,40519873,quote
AAPL,2025-01-11T00:46:55.022628Z,,,,,,,,61702423,quote
SPY,2025-01-11T00:46:55.023813Z,,,,,,,,73099945,quote
AAPL,2025-01-11T00:46:55.025201Z,,,,,,,,61702440,quote
QQQ,2025-01-11T00:46:55.027861Z,,,,,,,,40519874,quote
SPY,2025-01-11T00:46:55.029862Z,,,,,,,,73099946,quote
QQQ,2025-01-11T00:46:55.031293Z,,,,,,,,40519875,quote
SPY,2025-01-11T00:46:55.032695Z,,,,,,,,73099947,quote
,2025-01-11T00:46:55.033963Z,,2025-01-11T00:46:49Z,,,,,,,heartbeat
,2025-01-11T00:47:24.078777Z,,2025-01-11T00:46:54Z,,,,,,,heartbeat
SPY,2025-01-11T00:47:24.081632Z,2025-01-11T00:46:56Z,,579.85,,,,,73100047,quote
QQQ,2025-01-11T00:47:24.083058Z,,,,,,,,40519885,quote
,2025-01-11T00:47:24.084269Z,,2025-01-11T00:47:08Z,,,,,,,heartbeat
SPY,2025-01-11T00:47:24.086054Z,,,,,,,,73100048,quote
SPY,2025-01-11T00:47:24.087416Z,,,,,200,,200,73100058,quote
AAPL,2025-01-11T00:47:24.088580Z,,,,,,,,61702441,quote
QQQ,2025-01-11T00:47:24.089788Z,,,,,,,,40519887,quote
SPY,2025-01-11T00:47:24.091198Z,,,,,,,,73100060,quote
,2025-01-11T00:47:24.092525Z,,2025-01-11T00:47:22Z,,,,,,,heartbeat
QQQ,2025-01-11T00:47:52.018554Z,,,,,,,,40519966,quote
AAPL,2025-01-11T00:47:52.022180Z,,,,,,,,61702442,quote
QQQ,2025-01-11T00:47:52.023595Z,,,,,,,,40519971,quote
SPY,2025-01-11T00:47:52.024690Z,,,,,,,,73100070,quote
AAPL,2025-01-11T00:47:52.025523Z,,,,,,,,61702452,quote
SPY,2025-01-11T00:47:52.026634Z,,,,,,,,73100071,quote
AAPL,2025-01-11T00:47:52.027853Z,,,,,100,,100,61702484,quote
,2025-01-11T00:47:52.029153Z,,2025-01-11T00:47:38Z,,,,,,,heartbeat
QQQ,2025-01-11T00:47:52.030979Z,,,,,,,,40519975,quote
SPY,2025-01-11T00:47:52.032128Z,,,,,,,,73100111,quote
SPY,2025-01-11T00:47:52.033519Z,,,,,,,,73100161,quote
,2025-01-11T00:47:52.034985Z,,2025-01-11T00:47:50Z,,,,,,,heartbeat
SPY,2025-01-11T00:48:19.051813Z,,,,,,,,73100162,quote
AAPL,2025-01-11T00:48:19.056274Z,,,,,,,,61702521,quote
SPY,2025-01-11T00:48:19.057820Z,,,,,100,,100,,quote
