symbol,received_time,trade_time,server_time,last,bid,ask,bid_size,ask_size,volume,type
AAPL,2025-01-10T13:39:55.066958Z,2025-01-10T13:39:47Z,,241.16,200,,200,,228977,quote
AAPL,2025-01-10T13:39:55.069838Z,,,,,,,,228988,quote
AAPL,2025-01-10T13:39:55.072682Z,,,,,,,,228993,quote
AAPL,2025-01-10T13:39:55.074969Z,,,,,,,,228994,quote
AAPL,2025-01-10T13:39:55.079871Z,,,,,,,,228998,quote
AAPL,2025-01-10T13:39:55.080524Z,,,,241.1,,100,,,quote
AAPL,2025-01-10T13:40:13.993685Z,,,,,,,,229004,quote
AAPL,2025-01-10T13:40:13.997772Z,,,,,,,,229006,quote
AAPL,2025-01-10T13:40:13.999301Z,,,,,,,,229007,quote
AAPL,2025-01-10T13:40:14.000694Z,2025-01-10T13:40:00Z,,241.17,241.12,100,,100,229119,quote
AAPL,2025-01-10T13:40:14.004143Z,2025-01-10T13:40:01Z,,,,241.25,,200,229294,quote
AAPL,2025-01-10T13:40:14.007780Z,,,,,,,,229296,quote
AAPL,2025-01-10T13:40:14.009570Z,,,,,,,,229299,quote
AAPL,2025-01-10T13:40:14.010981Z,,,,,,,,229300,quote
AAPL,2025-01-10T13:40:14.012990Z,,,,241.18,,,,229330,quote
AAPL,2025-01-10T13:40:22.087740Z,,,,,,,,229332,quote
AAPL,2025-01-10T13:40:22.091599Z,,,,,,,,229358,quote
AAPL,2025-01-10T13:40:22.093226Z,2025-01-10T13:40:17Z,,241.2501,241.25,241.43,2200,,229781,quote
AAPL,2025-01-10T13:40:22.095200Z,,,,,241.45,,,229782,quote
AAPL,2025-01-10T13:40:22.097422Z,,,,,241.43,,,,quote
AAPL,2025-01-10T13:40:22.099701Z,,,,,241.45,,,229805,quote
AAPL,2025-01-10T13:40:27.992593Z,,,,241.3,241.46,100,300,229876,quote
AAPL,2025-01-10T13:40:27.997646Z,2025-01-10T13:40:22Z,,241.456,,,,,229977,quote
AAPL,2025-01-10T13:40:27.999679Z,,,,200,,200,,,quote
AAPL,2025-01-10T13:40:28.001207Z,2025-01-10T13:40:25Z,,241.46,241.37,100,100,100,230127,quote
AAPL,2025-01-10T13:40:28.004019Z,,,,,241.45,,900,230132,quote
AAPL,2025-01-10T13:40:33.988868Z,2025-01-10T13:40:27Z,,,,241.5,,100,231430,quote
AAPL,2025-01-10T13:40:33.992725Z,,,,,,,,231435,quote
AAPL,2025-01-10T13:40:33.994919Z,2025-01-10T13:40:29Z,,241.5,241.47,,,,232155,quote
AAPL,2025-01-10T13:40:33.997534Z,,,,241.49,,,,,quote
AAPL,2025-01-10T13:40:34.006925Z,,,,,,,,232164,quote
AAPL,2025-01-10T13:40:34.008082Z,,,,,,,,232179,quote
AAPL,2025-01-10T13:40:42.989251Z,2025-01-10T13:40:33Z,,241.49,241.25,300,2200,300,232703,quote
AAPL,2025-01-10T13:40:42.993809Z,,,,,241.49,,200,232708,quote
AAPL,2025-01-10T13:40:42.996018Z,,,,,,,,232709,quote
AAPL,2025-01-10T13:40:43.006304Z,,,,,241.5,,100,,quote
AAPL,2025-01-10T13:40:43.008138Z,,,,,241.49,,200,232722,quote
AAPL,2025-01-10T13:40:43.008878Z,,,,,241.47,,,232723,quote
AAPL,2025-01-10T13:40:43.009450Z,,,,,241.45,,100,,quote
AAPL,2025-01-10T13:40:43.009976Z,,,,,,,,232724,quote
AAPL,2025-01-10T13:40:43.010468Z,,,,,,,,232731,quote
AAPL,2025-01-10T13:40:52.090876Z,,,,,,,,232732,quote
AAPL,2025-01-10T13:40:52.095804Z,,,,,241.44,,200,232759,quote
AAPL,2025-01-10T13:40:52.099206Z,,,,,241.43,,,232761,quote
AAPL,2025-01-10T13:40:52.100404Z,,,,,241.35,,100,232764,quote
AAPL,2025-01-10T13:40:52.101841Z,2025-01-10T13:40:47Z,,241.26,,,,,234543,quote
AAPL,2025-01-10T13:40:52.105125Z,,,,,,,,234544,quote
AAPL,2025-01-10T13:40:52.111910Z,,,,,,,,234546,quote
AAPL,2025-01-10T13:40:59.054076Z,2025-01-10T13:40:51Z,,241.33,241.26,,100,,234705,quote
AAPL,2025-01-10T13:40:59.059587Z,,,,241.25,,2300,,234706,quote
AAPL,2025-01-10T13:40:59.063370Z,,,,241.26,,100,,234731,quote
AAPL,2025-01-10T13:40:59.066491Z,,,,241.29,,,,234756,quote
AAPL,2025-01-10T13:40:59.067787Z,2025-01-10T13:40:54Z,,241.35,200,241.45,200,,234874,quote
AAPL,2025-01-10T13:40:59.070214Z,,,,241.33,200,100,200,234875,quote
AAPL,2025-01-10T13:41:16.989937Z,,,,,,,,234876,quote
AAPL,2025-01-10T13:41:16.993037Z,,,,200,,200,,,quote
AAPL,2025-01-10T13:41:16.995238Z,2025-01-10T13:41:01Z,,241.44,,,,,235376,quote
AAPL,2025-01-10T13:41:16.998610Z,,,,,,,,235379,quote
AAPL,2025-01-10T13:41:16.999980Z,,,,,,,,235396,quote
AAPL,2025-01-10T13:41:17.001209Z,,,,,,,,235401,quote
AAPL,2025-01-10T13:41:17.004816Z,,,,100,241.41,100,300,,quote
AAPL,2025-01-10T13:41:17.011507Z,,,,241.36,,,,235406,quote
AAPL,2025-01-10T13:41:21.991579Z,2025-01-10T13:41:16Z,,241.5,,241.5,,200,239136,quote
AAPL,2025-01-10T13:41:21.996608Z,,,,,,,,239139,quote
AAPL,2025-01-10T13:41:22.001498Z,2025-01-10T13:41:18Z,,241.4,,241.52,,,239339,quote
AAPL,2025-01-10T13:41:22.003596Z,,,,,241.57,,300,,quote
AAPL,2025-01-10T13:41:22.005033Z,2025-01-10T13:41:20Z,,241.38,,,,,239750,quote
AAPL,2025-01-10T13:41:35.090597Z,,,,,,,,239751,quote
AAPL,2025-01-10T13:41:35.095221Z,,,,241.41,,,,239754,quote
AAPL,2025-01-10T13:41:35.105218Z,,,,,,,,239756,quote
AAPL,2025-01-10T13:41:35.115259Z,,,,241.36,241.5,,400,239992,quote
AAPL,2025-01-10T13:41:35.116131Z,,,,,,,,239993,quote
AAPL,2025-01-10T13:41:35.116891Z,,,,241.41,,200,,,quote
,2025-01-10T13:41:35.118128Z,,2025-01-10T13:41:33Z,,,,,,,heartbeat
AAPL,2025-01-10T13:41:35.119126Z,,,,,,,,239999,quote
AAPL,2025-01-10T13:41:40.104532Z,2025-01-10T13:41:34Z,,241.48,,,,,240137,quote
